"No","Date","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","sp500"
"202","2015-01-26",47.01,53.58,113.1,535.21,91.76,224184,149.7,77.495,102.26,309.66,24.59,2057.090088
"203","2015-01-28",41.19,52.16,115.31,510,87.95,214748.3647,144.78,76.24,101.48,303.91,23.84,2002.160034
"204","2015-01-29",42.01,52.76,118.9,510.66,87.58,214748.3647,146.29,78,102.38,311.78,24.08,2021.25
"205","2015-01-30",40.4,51.92,117.16,534.52,87.42,214748.3647,143.91,75.91,100.14,354.53,23.89,1994.98999
"206","2015-02-02",41.28,52.81,118.63,528.48,89.58,214748.3647,146.73,74.99,100.83,364.47,24.21,2020.849976
"207","2015-02-03",41.6,53.45,118.65,529.24,92.25,214748.3647,148.29,75.4,102.46,363.55,24.47,2050.030029
"208","2015-02-04",41.84,53.03,119.56,522.76,91.46,221026.88,147.53,75.63,101.36,364.75,24.16,2041.51001
"209","2015-02-06",42.41,54.45,118.93,531,91.5,224880,150.18,74.47,101.1,374.28,24.52,2055.469971
"210","2015-02-09",42.36,54.21,119.72,527.83,91.56,214748.3647,149.13,74.44,99.78,370.56,24.64,2046.73999
"211","2015-02-10",42.6,54.57,122.02,536.94,91.01,214748.3647,149.92,75.19,100.35,372.995,24.72,2068.590088
"212","2015-02-11",42.38,53.9,124.88,535.97,90.6,214748.3647,149.68,76.51,100.38,375.14,24.77,2068.530029
"213","2015-02-12",43.09,54.86,126.46,542.93,92.37,214748.3647,149.79,76.23,98.44,377.17,24.89,2088.47998
"214","2015-02-13",43.87,55.33,127.08,549.01,93.37,214748.3647,148.34,75.74,99.62,381.83,25.15,2096.98999
"215","2015-02-17",43.58,55.37,127.83,542.84,93.05,214748.3647,149.17,75.6,100.44,375.43,25.17,2100.340088
"216","2015-02-18",43.53,54.52,128.715,539.7,91.01,214748.3647,148.67,76.71,99.96,373.37,25.25,2099.679932
"217","2015-02-19",43.5,54.56,128.45,542.87,89.44,214748.3647,147.48,79.42,100.7,378.995,25.01,2097.449951
"218","2015-02-20",43.855,54.83,129.495,538.95,89.92,214748.3647,148.72,79.895,100.26,383.66,25.21,2110.300049
"219","2015-02-23",44.15,55.1,133,531.91,89.01,214748.3647,147.37,78.84,100.18,380.14,25.17,2109.659912
"220","2015-02-24",44.09,55.37,132.17,536.09,89.42,223405,148.95,78.45,100.7,378.59,25.39,2115.47998
"221","2015-02-25",43.99,55.33,128.79,543.87,89.6,222855,148.78,79.56,101.21,385.37,25.91,2113.860107
"222","2015-02-26",44.055,55.15,130.415,555.48,88.65,222250,148.34,80.41,102.8,384.8,25.89,2110.73999
"223","2015-02-27",43.85,54.79,128.46,558.4,88.54,221180,147.41,78.97,102.51,380.16,25.99,2104.5
"224","2015-03-02",43.88,55.55,129.09,571.34,88.04,220365,147.08,79.75,103.22,385.655,26.11,2117.389893
"225","2015-03-03",43.28,55.45,129.36,573.64,87.62,219000,145.93,79.6,102.34,384.61,25.86,2107.780029
"226","2015-03-04",43.055,54.82,128.54,573.37,87.18,217612,144.92,80.895,101.65,382.72,25.66,2098.530029
"227","2015-03-05",43.11,54.84,126.41,575.33,86.74,219500,146.06,81.21,102.52,387.83,25.82,2101.040039
"228","2015-03-06",42.36,54.59,126.6,567.685,85.63,218810.99,145.28,80.005,100.11,380.09,25.42,2071.26001
"229","2015-03-09",42.85,54.67,127.14,568.85,85.16,220499.9,146.13,79.44,100.66,378.56,25.64,2079.429932
"230","2015-03-10",42.03,53.29,124.51,555.01,84.26,217400,143.19,77.55,99.53,369.51,25.17,2044.160034
"231","2015-03-11",41.98,53.7,122.24,551.18,84.02,217500,143.44,77.57,98.32,366.37,25.19,2040.23999
"232","2015-03-12",41.02,55.59,124.45,555.51,84.22,219898,145.67,78.93,99.83,374.24,25.4,2065.949951
"233","2015-03-13",41.38,55.34,123.59,547.32,83.87,217118,143.97,78.05,99.21,370.58,25.04,2053.399902
